Operating_Accounts_00Id,Operating_Accounts_00Description,Operating_Accounts_00ParentId,VersionVersion,VersionCategory,VersionType,Operating_RegionsId,Operating_RegionsDescription,Operating_Product_GroupsId,Operating_Product_GroupsDescription,DateYear,DateQuarter,DateMonth,DateDAY,Value,ValueUnit
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20164,201610,1,-105596707.43,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20164,201611,1,-77613361.24,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2016,20164,201612,1,-78522867.34,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2017,20171,201701,1,-52818800.26,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2017,20171,201702,1,30830855.15,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2017,20171,201703,1,-81288676.52,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2017,20172,201704,1,-37109120.37,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2017,20172,201705,1,-49958822.51,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0001,Athletic Shirts,2017,20172,201706,1,24254411.51,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20161,201601,1,107733447.88,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20161,201602,1,85123363.97,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20161,201603,1,92764480.04,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20162,201604,1,-108433087.35,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20162,201605,1,58878656.87,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20162,201606,1,104910727.57,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20163,201607,1,-210030033.19,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20163,201608,1,-165300994.1,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20163,201609,1,-195733672.35,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20164,201610,1,-169531040.37,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20164,201611,1,97448368.72,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2016,20164,201612,1,38176245.09,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2017,20171,201701,1,-169712089.28,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2017,20171,201702,1,-218761090.7,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2017,20171,201703,1,-104624000.21,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2017,20172,201704,1,-87163723.34,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2017,20172,201705,1,72418123.39,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0003,Athletic Shorts,2017,20172,201706,1,-69424717.13,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20161,201601,1,1446578.22,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20161,201602,1,-29409390.93,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20161,201603,1,22057338.44,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20162,201604,1,-10971788.53,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20162,201605,1,-12676176.11,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20162,201606,1,-56673937.4,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20163,201607,1,-10466886,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20163,201608,1,-4562019.05,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20163,201609,1,-5816885.53,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20164,201610,1,-2288548.2,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20164,201611,1,-3548540.62,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2016,20164,201612,1,-1754892.11,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2017,20171,201701,1,-4317702.22,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2017,20171,201702,1,24210051.56,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2017,20171,201703,1,-25586942.22,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2017,20172,201704,1,-49034231.85,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2017,20172,201705,1,18470772.79,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0004,Caps,2017,20172,201706,1,-25998999.86,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20161,201601,1,-1604606506.01,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20161,201602,1,-1759342564.97,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20161,201603,1,1768931262.38,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20162,201604,1,-1302892528.15,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20162,201605,1,-1492667652.06,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20162,201606,1,-1615455952.89,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20163,201607,1,-1643198462.9,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20163,201608,1,-3511094361.09,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20163,201609,1,3314305430.76,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20164,201610,1,-3654846628.62,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20164,201611,1,-4548222717.68,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2016,20164,201612,1,409760627.17,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2017,20171,201701,1,-1951283404.12,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2017,20171,201702,1,-2270165851.08,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2017,20171,201703,1,811727832.29,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2017,20172,201704,1,-1561316950.29,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2017,20172,201705,1,-1467769567.96,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0005,Tennis Shoes,2017,20172,201706,1,-1792568602.92,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20161,201601,1,-431031566.13,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20161,201602,1,-366386685.11,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20161,201603,1,-384764477.49,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20162,201604,1,-404888325.57,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20162,201605,1,-929985204.24,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20162,201606,1,-500847445.9,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20163,201607,1,-344367628.18,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20163,201608,1,-317167571.56,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20163,201609,1,-299590256.69,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20164,201610,1,-281461082.67,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20164,201611,1,-347265817.68,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2016,20164,201612,1,-631127917.23,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2017,20171,201701,1,-253381357.01,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2017,20171,201702,1,-462527436.45,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2017,20171,201703,1,-732103209.46,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2017,20172,201704,1,-1197947661.1,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2017,20172,201705,1,-936334346.98,USD
H000000,Finance,,Actual,Actuals,public,REG0001,Northeast,PRD0006,Running Shoes,2017,20172,201706,1,-918161244.04,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20161,201601,1,3787609273,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20161,201602,1,5630417427,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20161,201603,1,4900253159,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20162,201604,1,3808072168,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20162,201605,1,6563170956,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20162,201606,1,4750473117,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20163,201607,1,5394026245,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20163,201608,1,8246741091,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20163,201609,1,8057418221,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20164,201610,1,5059777074,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20164,201611,1,7084964742,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2016,20164,201612,1,3668932391,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2017,20171,201701,1,4219906395,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2017,20171,201702,1,2253934040,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2017,20171,201703,1,7315903676,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2017,20172,201704,1,6638589299,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2017,20172,201705,1,4642858850,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,#,No Product,2017,20172,201706,1,3871167315,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20161,201601,1,-16989143.52,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20161,201602,1,-86983410.92,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20161,201603,1,-70171258.24,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20162,201604,1,-25452053.21,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20162,201605,1,-32148516.05,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20162,201606,1,-151923902.22,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20163,201607,1,-21562506.86,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20163,201608,1,-16786960.16,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20163,201609,1,-15957465.54,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20164,201610,1,-6949336.36,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20164,201611,1,-24637980.52,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2016,20164,201612,1,-4902490.14,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2017,20171,201701,1,-11035428.01,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2017,20171,201702,1,-51458317.89,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2017,20171,201703,1,-72964023.23,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2017,20172,201704,1,-202162958.29,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2017,20172,201705,1,-5285216.11,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0001,Athletic Shirts,2017,20172,201706,1,-167044209.95,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20161,201601,1,4519872537.88,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20161,201602,1,3049543933.87,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20161,201603,1,4714074344.52,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20162,201604,1,-7349759330.76,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20162,201605,1,1043254640.87,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20162,201606,1,4416527591.59,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20163,201607,1,6428922266.57,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20163,201608,1,9281506900.3,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20163,201609,1,5294417417.89,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20164,201610,1,6887660396.03,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20164,201611,1,2916121014.79,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2016,20164,201612,1,6915284627.61,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2017,20171,201701,1,4587012578.67,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2017,20171,201702,1,4716955734.39,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2017,20171,201703,1,7554440820.61,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2017,20172,201704,1,-3889848770.15,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2017,20172,201705,1,3169688905.43,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0003,Athletic Shorts,2017,20172,201706,1,2404130068.51,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20161,201601,1,-1132642467.1,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20161,201602,1,-1036967672.09,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20161,201603,1,265866157.21,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20162,201604,1,-1341560925.93,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20162,201605,1,-3534892853.68,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20162,201606,1,-963012394.73,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20163,201607,1,281160400.79,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20163,201608,1,-912791214.53,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20163,201609,1,-834795336.69,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20164,201610,1,-802403270.74,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20164,201611,1,-1034872556.79,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2016,20164,201612,1,-1734814927.21,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2017,20171,201701,1,-628118229.79,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2017,20171,201702,1,-1321614382.26,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2017,20171,201703,1,1396415912.44,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2017,20172,201704,1,-3357037620.1,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2017,20172,201705,1,1408160706.94,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0004,Caps,2017,20172,201706,1,1146602837.22,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20161,201601,1,289786255.24,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20161,201602,1,90144359.59,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20161,201603,1,-294606705.2,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20162,201604,1,-293858868.17,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20162,201605,1,-269277782.08,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20162,201606,1,247163941.79,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20163,201607,1,-554422192.96,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20163,201608,1,-623069603.13,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20163,201609,1,-625788782.31,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20164,201610,1,102638737.43,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20164,201611,1,-534092674.27,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2016,20164,201612,1,-262256065.54,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2017,20171,201701,1,-731561168.63,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2017,20171,201702,1,-645426369.28,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2017,20171,201703,1,-426291953.25,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2017,20172,201704,1,-217602911.13,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2017,20172,201705,1,-190450018.73,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0005,Tennis Shoes,2017,20172,201706,1,51160625.6,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20161,201601,1,-197319349.3,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20161,201602,1,-89631121.72,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20161,201603,1,-310012574.21,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20162,201604,1,-85079692.16,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20162,201605,1,-70871521.67,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20162,201606,1,38893813.2,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20163,201607,1,-121208790.97,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20163,201608,1,-102193332.75,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20163,201609,1,332922347.51,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20164,201610,1,-283896029.39,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20164,201611,1,-300798915.63,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2016,20164,201612,1,-228558668.33,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2017,20171,201701,1,-152370981.27,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2017,20171,201702,1,-115600495.24,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2017,20171,201703,1,-184348229.14,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2017,20172,201704,1,-93473774.27,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2017,20172,201705,1,-4597837.1,USD
H000000,Finance,,Actual,Actuals,public,REG0002,Southeast,PRD0006,Running Shoes,2017,20172,201706,1,183175805.16,USD
H000000,Finance,,Actual,Actuals,public,REG0003,Asia Pacific,#,No Product,2016,20161,201601,1,54361224727,USD
